,name,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
84,"Helms,Tommy",1966,25,CIN,NL,138,578,542,72,154,23,1,9,49,3,4,24,31,.284,.315,.380,.695,85,206,16,2,7,3,2,*54/H,RoY-1
85,"Blefary,Curt",1965,21,BAL,AL,144,561,462,72,120,23,4,22,70,4,2,88,73,.260,.381,.470,.851,139,217,10,3,7,1,4,*97H,RoY-1
86,"Lefebvre,Jim",1965,23,LAD,NL,157,631,544,57,136,21,4,12,69,3,5,71,92,.250,.337,.369,.706,106,201,8,2,10,4,7,*4/H,"MVP-21,RoY-1"
87,"Oliva,Tony",1964,25,MIN,AL,161,719,672,109,217,43,9,32,94,12,6,34,68,.323,.359,.557,.916,150,374,9,6,3,3,8,*9/87H,"AS,MVP-4,RoY-1"
88,"Allen,Dick",1964,22,PHI,NL,162,709,632,125,201,38,13,29,91,3,4,67,138,.318,.382,.557,.939,162,352,8,0,6,3,13,*5,"MVP-7,RoY-1"
89,"Rose,Pete",1963,22,CIN,NL,157,696,623,101,170,25,9,6,41,13,15,55,72,.273,.334,.371,.705,101,231,8,5,6,6,0,*4/7,RoY-1
90,"Tresh,Tom",1962,23,NYY,AL,157,712,622,94,178,26,5,20,93,4,8,67,74,.286,.359,.441,.800,116,274,3,8,8,7,3,*67/H,"AS,AS,MVP-12,RoY-1"
91,"Hubbs,Ken",1962,20,CHC,NL,160,716,661,90,172,24,9,5,49,3,7,35,129,.260,.299,.346,.646,71,229,20,3,13,3,0,*4/H,"RoY-1,GG"
92,"Williams,Billy",1961,23,CHC,NL,146,584,529,75,147,20,7,25,86,6,0,45,70,.278,.338,.484,.822,115,256,11,5,1,4,11,*79H,RoY-1
93,"Hansen,Ron",1960,22,BAL,AL,153,606,530,72,135,22,5,22,86,3,3,69,94,.255,.342,.440,.781,111,233,18,2,1,2,5,*6/H,"AS,AS,MVP-5,RoY-1"
94,"Howard,Frank",1960,23,LAD,NL,117,487,448,54,120,15,2,23,77,0,1,32,108,.268,.320,.464,.784,107,208,8,3,2,2,1,*97/3H,RoY-1
95,"Allison,Bob",1959,24,WSH,AL,150,639,570,83,149,18,9,30,85,13,8,60,92,.261,.333,.482,.815,122,275,22,2,5,2,1,*8/97H,"AS,MVP-28,RoY-1"
96,"McCovey,Willie",1959,21,SFG,NL,52,219,192,32,68,9,5,13,38,2,0,22,35,.354,.429,.656,1.085,188,126,7,4,0,1,1,3/H,"MVP-22,RoY-1"
97,"Pearson,Albie",1958,23,WSH,AL,146,610,530,63,146,25,5,3,33,7,8,64,31,.275,.354,.358,.712,99,190,11,2,11,3,1,*8/H9,RoY-1
98,"Cepeda,Orlando",1958,20,SFG,NL,148,644,603,88,188,38,4,25,96,15,11,29,84,.312,.342,.512,.854,125,309,18,3,0,9,7,*3/H,"MVP-9,RoY-1"
99,"Kubek,Tony",1957,21,NYY,AL,127,475,431,56,128,21,3,3,39,6,6,24,48,.297,.335,.381,.716,97,164,4,3,13,4,3,6578H/4,"MVP-26,RoY-1"
100,"Aparicio,Luis",1956,22,CHW,AL,152,583,533,69,142,19,6,3,56,21,4,34,63,.266,.311,.341,.653,72,182,9,1,14,1,2,*6/H,"MVP-25,RoY-1"
101,"Robinson,Frank",1956,20,CIN,NL,152,668,572,122,166,27,6,38,83,8,4,64,95,.290,.379,.558,.936,143,319,14,20,8,4,7,*7/8H,"AS,MVP-7,RoY-1"
102,"Virdon,Bill",1955,24,STL,NL,144,586,534,58,150,18,6,17,68,2,4,36,64,.281,.322,.433,.755,100,231,10,1,6,9,3,*89/H7,RoY-1
103,"Moon,Wally",1954,24,STL,NL,151,716,635,106,193,29,9,12,76,18,10,71,73,.304,.371,.435,.806,110,276,10,1,2,7,3,*8/7H,RoY-1
104,"Kuenn,Harvey",1953,22,DET,AL,155,731,679,94,209,33,7,2,48,6,5,50,31,.308,.356,.386,.742,102,262,10,1,1,,2,*6,"AS,MVP-15,RoY-1"
105,"Gilliam,Jim",1953,24,BRO,NL,151,710,605,125,168,31,17,6,63,21,14,100,38,.278,.383,.415,.798,105,251,7,3,2,,4,*4/H,RoY-1
106,"McDougald,Gil",1951,23,NYY,AL,131,473,402,72,123,23,4,14,63,14,5,56,54,.306,.396,.488,.884,142,196,12,4,11,,1,54H,"MVP-9,RoY-1"
107,"Mays,Willie",1951,20,NYG,NL,121,524,464,59,127,22,5,20,68,7,4,57,60,.274,.356,.472,.828,120,219,11,2,1,,7,*8,RoY-1
108,"Dropo,Walt",1950,27,BOS,AL,136,609,559,101,180,28,8,34,144,0,0,45,75,.322,.378,.583,.961,134,326,16,5,0,,3,*3/H,"AS,MVP-6,RoY-1"
109,"Jethroe,Sam",1950,33,BSN,NL,141,642,582,100,159,28,8,18,58,35,9,52,93,.273,.338,.442,.780,109,257,8,5,3,,1,*8,"MVP-27,RoY-1"
110,"Sievers,Roy",1949,22,SLB,AL,140,545,471,84,144,28,1,16,91,1,5,70,75,.306,.398,.471,.869,125,222,15,2,2,,1,*87H/5,"MVP-18,RoY-1"
111,"Dark,Al",1948,26,BSN,NL,137,581,543,85,175,39,6,3,48,4,4,24,36,.322,.353,.433,.786,113,235,4,2,10,,3,*6/H,"MVP-3,RoY-1"
112,"Robinson,Jackie",1947,28,BRO,NL,151,701,590,125,175,31,5,12,48,29,11,74,36,.297,.383,.427,.810,112,252,5,9,28,,3,*3,"MVP-5,RoY-1"
